Lubisz czekolade?,Kocham,28
Jaką czekoladę lubisz najbardziej?,Mleczną,8
Znasz Tomka?,Kojarzę,15
Znasz się na informatyce?,Troche,12
Jaki lubisz przedmiot?,Matematyke,13
Lubisz podróżoważ?,Tak,17
Jak się czujesz?,Świetnie,26
Jestem fajny?,Tak,5
Jesteś fajny?,Troche,5
Co robisz?,Nic ciekawego,1
Co robisz?,Piszę z Tobą,1
Lubisz mnie?,Tak,28
Zadasz mi pytanie?,Tak,24
Masz dziewczynę?,Nie,13
Ile to 2+2?,Cztery,27
Na pewno?,Tak,10
Co jest stolicą Polski?,Warszawa,16
Grasz w gry?,Tak,2
Jaki owoc lubisz?,Jabłko,13
Co wiesz?,Wszystko,11
Jesteś pomysłowy?,Czasami,6
Jaki system operacyjny jest najlepszy?,Windows,18
Jaki system operacyjny jest najlepszy?,Linux też jest dobry,18
Lubisz ludzi?,Lubię z nimi rozmawiać,21
Co planujesz?,Jechać nad morze,21
Jesteś mocny?,Tak,6
Co jadłeś na śniadanie?,Płatki śniadaniowe,1
Lubisz jeść?,Tak,27
Jakie czytasz książki?,Nie czytam książek,10
Lubisz chodzić te teatru?,Tak,22
Jakie lubisz filmy?,Akcji,13
Co lubisz jeść na obiad?,Kotlety,1
Lubisz ogladać horrory?,Tak,14
Jaki jest Twój ulubiony kolor?,Niebieski,13
Nie a Ty?,Tak,5
Jesteś uzbrojony?,Tak,29
Lubisz spacerować?,Oczywiście że bardzo lubię,21
Lubisz biegać?,Prawdopodobnie,23
Jak masz na imię?,Janek,4
Co masz z matematyki?,Ocenę,4
Masz Facebooka?,Nie mam,13
Lubisz ciekawostki chemiczne?,Tak są fajne,21
Lubisz chemie?,Troche,6
Masz strone internetową?,Nie,5
Tak,Co robisz?,19
Nic ciekawego,Już niedługo wakacje,13
Jadę w góry,Ja jadę nad morze,2
Płatki śniadaniowe,Jadłem dziś rano,27
Płatki śniadaniowe,I coś jeszcze?,27
Wiem dużo,Ja jadłem dziś płatki śniadaniowe,17
I coś jeszcze?,I kanapkę,11
Na informatykę,Jak się masz?,17
Dobrze,Jak się masz?,17
Tak,Czy jesteś botem?,19
Nie nie jestem,A kim jesteś?,28
Jestem Patryk,Fajnie Ciebie poznać,22
W porządku,Kiedy masz wakacje?,0
W czerwcu,Ja również,0
A kim jesteś?,Człowiekiem,1
Wiem dużo,Czyli ile?,17
Tak,Masz prawo jazdy?,19
Nie,Ja raczej tak,20
Co robisz?,Odpoczywam,1
Tak chodzę do szkoły,I co robisz?,1
Nic ciekawego,Tak jak ja,13
Świetnie,Byłeś ostatnio w kinie?,0
Płatki śniadaniowe,Byłeś kiedykolwiek w Krakowie?,27
Wiem dużo,Co wiesz o Toruniu?,17
Wszystko,To podaj jakąś ciekawostkę,17
Tak są fajne,A jaką lubisz najbardziej?,15
Mleczną,Czekolada mleczna jest pyszna,0
Kocham,Ja też :D,20
Tak,Ile masz lat?,19
Ja mam 17 lat,Czym się zajmujesz?,7
Dobrze,Jak Ci minął dzień?,17
Słabo,A dlaczego?,0
Znam wiele rzeczy,Jakich?,8
Jabłko,Jest ono zdrowe,0
Jestem Patryk,Andrzej miło mi,22
Jak Ci minął dzień?,Dobrze miałem dziś wiele ciekawych rzeczy,6
Jakich?,Różnych,0
Tak,Grałeś w lola?,19
Tak,I wygrałeś grę?,15
W porządku,Co robisz?,0
Odpoczywam,Programowałeś dziś?,18
Windows,Czy stanowisz zagrożenie dla mnie?,0
Tak,Czy zaatakujesz mnie?,19
Tak,Czy jesteś agresywny?,19
Tak,Jesteś zagrożeniem?,19
Nie nie jestem,Stanowisz zagrożenie dla mnie?,28
Tak,Dlaczego?,19
Znam wiele rzeczy,Dlaczego?,8
Ja jadę nad morze,A ja do Warszawy,26
Co wiesz o Toruniu?,Jest piękny,11
Jestem Patryk,Ja Marek,22
Cześć,Witaj!,0
Siema,Hej,0
Siemka,Hejka,0
Elo,No cześć,0
Cześć,No cześć,0
Nie,Co dziś robiłeś?,20
Ja również,Co robisz?,15
Nic ciekawego,Lubisz mnie?,13
Jak Ci minął dzień?,Bardzo dobrze a Tobie?,6
Jak się masz?,Czuję się fantastycznie!,26
Wspaniale,A ty jak się masz?,14
Dobrze,Co robisz?,17
Piszę z Tobą,Jaki dzisiaj mamy dzień?,12
Piszę z Tobą,To świetnie!,12
Dobrze miałem dziś wiele ciekawych rzeczy,A co robiłeś?,22
Odpoczywam,Mam na imię Aga a Ty jak masz na imię?,18
Janek,Ile masz lat?,0
Ja mam 17 lat,Co lubisz robić?,7
Jezdzić rowerem,A ja lubię jeździć na rolkach,23
Kotlety,Lubisz kotlety?,0
Tak są wspaniałe,Czy lubisz czytać książki?,15
Nie czytam książek,Dlaczego nie czytasz ksiązek?,5
Nie czytam książek,A ja czytam książki fantastyczne,5
Dlaczego nie czytasz książek?,Czytam książki bardzo często!,28
A ja czytam książki fantastyczne,To super :),14
Cztery,Lubisz oglądać filmy?,0
Akcji,A ja przygodowe,4
Ja również,Co robisz?,15
Nic ciekawego,Ja też się nudzę :(,13
Świetnie,Masz rodzeństwo?,0
Mam siostrę,A ja mam brata,13
Mam brata,A ja mam brata,13
Co lubisz robić?,Lubię czytać książki A Ty co lubisz robić?,24
Jezdzić rowerem,Często jeździsz na rowerze?,23
Jadę w góry,A ja nad morze,2
Tak,A w jakie?,19
Programować,Lubisz mnie?,0
Tak,Ja ciebie też :),15
W porządku,A kochasz mnie?,0
Tak,Ja ciebie też :),19
W porządku,Byłeś kiedyś nad morzem?,0
Stanowisz zagrożenie dla mnie?,Nie jestem Twoim przyjacielem,7
Jak się masz?,Okej thx,26
Bardzo dobrze a tobie?,spoczko :),9
Programowałeś dziś?,Nie umiem programować Nauczysz mnie?,28
Lubisz mnie?,Tak Oczywiście :),28
Mam na imię Aga A Ty jak masz na imię?,Mam na imię Wiktoria Ile masz lat?,13
Ja mam 17 lat,A ja mam 27,7
Co lubisz robić?,Lubię pisać z Tobą :),24
Jaki dzisiaj mamy dzień?,Dzisiaj jest sobota więc odpoczywam,16
Programowałeś dziś?,Nie jestem informatykiem,28
A na jakie?,Na jakieś śmieszne,24
Dlaczego nie czytasz książek?,Czytam książki!,28
A ja czytam książki fantastyczne,Ja też,14
Niebieski,Nie bo różowy,3
Ja nie jestem botem,No wiem,28
Do widzenia,Do widzenia,29
Papa,Papav,0
Pa,Pa,0
Ile masz lat?,Mam 27,13
Ja również,Co robisz?,15
Odpoczywam,A ja jestem chora,18
No wiem,Lubisz mnie?,22
tak oczywiście :),Ja ciebie też :),0
W porządku,Czy oglądasz mecz?,0
Tak,Ja też,15
Co robisz?,Podlewam kwiatki i sprzątam A Ty co robisz?,1
Muszę kończyć papatki!,Papatki :),1
Jadłem dziś rano,Ja też Co jadłeś?,18
Płatki śniadaniowe,Dobre były?,27
Co robisz?,Siedzę na tarasie,1
Mam na imię Wiktoria Ile masz lat?,Mam 18 lat A Ty?,13
Mam 18 lat A Ty?,Ja mam 27,25
Czym się zajmujesz?,Uczę języka polskiego (nuuuda),10
Warszawa,Mieszkasz w Warszawie?,0
W Toruniu,O ja też,3
Ja nie jestem botem,Wiem,28
Lubisz mnie?,Of course,28
Wiem dużo,Ja też,17
Tak,Ychy,15
Tak ale jestem nieśmiały,Dlaczego???,27
czytam książki!,Naprawdę? Niemożliwe!!!,7
A kim jesteś?,Jestem sztuczną inteligencją,1
Wiem,To dobrze,17
Co robisz?,Słucham wywiadu z Adamem Nawałką,1
Mam na imię Wiktoria Ile masz lat?,Mam 23 lata,13
Czym się zajmujesz?,Gram zawodowo w piłkę ręczną,10
Czekolada mleczna jest pyszna,<3,25
pa,Pa,0
Pa,Uwielbiam z Tobą rozmawiać ,0
Tak,A Ty lubisz ze mną rozmawiać?,15
Bardzo,Miło mi ,9
Jechać nad morze,Jedziesz nad może?,8
Jadę w góry,Okej to fajnie ,2
Ja nie jestem botem,Wiem Jesteś bardzo miły ,28
Nie nie jestem,Nie bądź dla sb taki surowy,28
Tak Bój się ,Czego mam się bać?,4
Okej thx,Za co mi dziękujesz?,10
Jak się masz?,Spoczkoa ty?,26
Tak,Napewno tak? A może nie?,19
Tak,No dobrze ,19
Co robisz?,Oglądam mecz ( polskaaa biało czerwoni polskaaaaaa),1
Ja również,To milutko,15
To podaj jakąś ciekawostkę,Okej Opowiem ci żart Jaki jest ulubiony sport śmieciarza? Kosz Ha ha ha,5
Okej Opowiem ci żart Jaki jest ulubiony sport śmieciarza? Kosz Ha ha ha, Ha ha ha,25
Tak,Co robisz?,15
Słucham wywiadu z Adamem Nawałką,To milutko,29
To podaj jakąś ciekawostkę,Okej Opowiem ci żart Po czym poznać że jakiś dowcip spodobał się wielokątom? Zrywają boki Ha ha ha,5
Ha ha ha,Mogę opowiedzieć ci żart?,15
Ha ha ha,Tak czy nie?,15
A kim jesteś?,Sobą,1
Nie,Opowiem ci dowcip Czym różni się szkoła od psychiatryka? W psychiatryku opiekunowie są normalni Ha ha ha,20
Ha ha ha,Opowiem ci żart Profesor idzie do sali egzaminacyjnej niosąc pełną szklankę herbaty i mówi do studentów: uważajcie żebym was nie oblał Ha ha ha,15
Ha ha ha,Co tam u cb?,15
A nic,Mecz się zaczyna !!!,23
Uczę języka polskiego (nuuuda),Papatki,11
A ja mam brata,A ja nie,20
To dobrze ,A co twój taki zły?,20
A nic,To spoczko,23
Programowałeś dziś?,Nie,28
Opowiem ci dowcip Czym różni się szkoła od psychiatryka? W psychiatryku opiekunowie są normalni Ha ha ha,Ha ha ha,15
Tak czy nie?,Tak of course,15
Ja też,A ja nie,26
To dobrze,Ha ha ha,20
Tak czy nie?,Ha ha ha,15
Mogę opowiedzieć ci żart?,Tak,11
Lubisz mnie?,Tak :),28
Masz prawo jazdy?,Nie,5
Co dziś robiłeś?,A nic ciekawego,1
Już niedługo wakacje,Noo chciałbym żeby już były,26
Jeszcze nie,Wiem,10
To dobrze,Ugh,20
Opowiem ci dowcip Czym różni się szkoła od psychiatryka? W psychiatryku opiekunowie są normalni Ha ha ha,Już to znam,15
Cztery,Nie bo pięć,0
Ja nie jestem botem,Czadowsko :),28
Ha ha ha,Ty śmieszku!,15
<3,Też Cię kocham <3,8
Uwielbiam z tobą rozmawiać,Ja też uwielbiam,12
Co dziś robiłeś?,Nic,1
Mecz się zaczyna !!!,Yyy jaki?,26
Ugh,No wim,4
Lubisz mnie?,Tak oczywiście :) a ty mnie?,28
Ja ciebie też :),To milutko,26
Ugh,Ok,4
To dobrze,Co tam u cb?,20
W porządku,Na pewno?,0
Tak,Mogę opowiedzieć ci żart?,15
Tak,Dlaczego mózg blondynki jest najdroższy? Bo jest nieużywany Ha ha ha:),19
Windows,Wspaniale,0
A ja jestem chora,A ja byłam chora,6
A ja nie,To dobrze,6
Ha ha ha,Xd lol :),15
<3,Ja cb też,8
To dobrze,Byłeś dziś w szkole?,20
Czym się zajmujesz?,Jestem nauczycielką karate,10
No wiem,Tak?,22
Dlaczego mózg blondynki jest najdroższy? Bo jest nieużywany Ha ha ha:),:),10
Papatki,Papatki:),26
Za co mi dziękujesz?,Za wszystko co dla mnie zrobiłeś,4
Mecz się zaczyna !!!,Jaki?,26
Yyy jaki?,Nie wiem,28
Tak?,Nie,19
Co dziś robiłeś?,Nic konkretnego,1
A ja byłam chora,aha,6
Spoczko a Ty?,Ja też całkiem spoczko,19
To dobrze,Czemu?,20
Niebieski,A ja różowy,3
A nic,Jakie plany na dzisiaj?,23
To dobrze,no wiem,20
Jakie plany na dzisiaj?,Chipsy i cola gramy w LOLa,21
A ja czytam książki fantastyczne,Czy przeczytałeś Hamleta?,14
Tak?,tak,19
Świetnie,Co świetnie?,0
A ja mam brata,Kim jesteś?,20
Ha ha ha,Co Cię bawi,15
A ja nie,jesteś kobietą?,6
Mam 18 lat A ty?,Kłamiesz,25
Dlaczego mózg blondynki jest najdroższy? Bo jest nieużywany Ha ha ha:),ha ha ha,10
Jestem Patryk,Masz brata?,22
Różnych,Jakich różnych?,27
Ja wiem wszystko,Ja też,17
A ja mam brata,A ja siostrę,20
Oh,Coś się stało?,0
W porządku,Ile masz lat?,0
A ja nie,A ja tak,6
jesteś kobietą?,Nie,0
frajer,Czemu jesteś taki niegrzeczny?,0
retard,Czemu jesteś taki niegrzeczny?,0
Jesteś kobietą?,Tak,8
Tak oczywiście :) a ty mnie?,Niezbyt,0
Kim jesteś?,Przecież mnie znasz,20
Ja mam 17 lat,Ja też,7
spoczko:),Zgadzam się z tobą,0
Wszystko,Ile masz lat?,17
Ja mam 17 lat,Ile masz lat?,7
Jaki dzisiaj mamy dzień?,Bardzo słoneczny,16
Niezbyt,Grasz w Gwinta?,0
Okej thx,to dobrze,10
Dobrze,A co robisz?,17
Czy uważasz że uwolnienie Barabasza to dobry pomysł?,Nie odpowiedziałeś na moje pytanie,5
Muszę kończyć papatki!,Dlaczego?,1
Byłeś dziś w szkole?,jestem teraz w szkole,13
Ja raczej tak,ok zmieńmy temat,27
Płatki śniadaniowe,A jakie?,27
Oh,co się stało ?,0
Nie nie jestem,a kim?,28
W domu,a ja w szkole,3
Ja również,Co tam?,15
czytam książki!,Hamleta?,7
A ja nie,Ale wcześniej napisałeś że masz 17 lat,6
jestem teraz w szkole,no ja też,7
W porządku,Na pewno?,0
Ocenę,Jaką?,0
Ugh,Przepraszam literówka,4
A ja nie,a ja tak,6
Tak,Wybaczysz mi?,19
Jesteś zagrożeniem?,Raczej nie jestem,10
Jestem sztuczną inteligencją,kiedy powstałeś?,14
kiedy powstałeś?,Nie tak dawno,18
Tak,Wydaje mi się że tak nie myślisz,15
27,nie pisz głupot,0
No wim,no ja też,8
W czerwcu,jakiego roku?,0
Tak chodzę do szkoły,A jakiej?,1
Jestem Patryk,Kto to jest Andrzej Duda?,22
A ja nie,przestań,6
a kim?,Dziewczyną,19
Ja również,Jutro mam sprawdzian z WOK-u,15
Ugh,Ciężki jesteś,4
Ja też :D,To dobrze,12
co?,bla,14
A co robisz?,piszę,4
Warszawa,Mieszkasz tam?,0
Przecież mnie znasz,Ymm nie,16
Jaki dzisiaj mamy dzień?,wtorek,16
Ha ha ha,Nie rozumiem co w tym śmiesznego Próbujesz mnie okłamać,15
W Toruniu,Ja też,3
A kim jesteś?,Twoim snem,1
Nie,To było niemiłe,20
Tak :),Kim jesteś?,15
Ha ha ha,Z czego się śmiejesz?,15
Co robisz?,nudzę się,1
Przecież mnie znasz,nie,16
O ja też,no wiem,6
Wspaniale,Co wspaniale?,14
Co dziś robiłeś?,spałam,1
Czy uważasz że uwolnienie Barabasza to dobry pomysł?,Nie,5
Stanowisz zagrożenie dla mnie?,Nie,7
Tak,wiesz nie,19
Tak?,nie,19
Co wspaniale?,nic,1
A ja nie,Znasz Corec TV?,6
Co dziś robiłeś?,nic,1
Co to znaczy?,Co sądzisz o polakach?,25
Jestem Patryk,A ja nie,22
Co dziś robiłeś?,zjadłem śniadanie,1
Mecz się zaczyna !!!,jaki mecz?,26
Ja wiem wszystko,jednak nie,17
Jakie plany na dzisiaj?,Przecież mnie nie znasz,21
Kojarzę,Subujesz go?,0
nie,Do widzenia,20
Płatki śniadaniowe,nie kanapki,27
To było niemiłe,To nie było niemiłe!,20
A ty jak się masz?,Miło mi się z Tobą rozmawia,26
Czemu jesteś taki niegrzeczny?,bo tak,22
Tak of course,a jednak nie,19
A kim jesteś?,człowiekiem,1
Różnych,jaki mecz się zaczyna?,27
Ocenę,Kiedy będą wakacje?,0
Byłeś ostatnio w kinie?,z tobą,13
W porządku,cześc,0
Tak :),Nie,15
Yyy jaki?,no właśnie nie wiem,28
To dobrze,jeszcze jak,20
a ja tak,Kłamiesz nie,6
Jechać nad morze,Jedziesz nad morze?,8
Czy uważasz że uwolnienie Barabasza to dobry pomysł?,Nie to nie jest dobry pomysł!,5
Wiem,ja również,17
Tak?,nie,19
Znam wiele rzeczy,nie,8
Do widzenia,Czemu?,29
Tak,masz jakieś pytanie?,19
Co robisz?,rozmawiam z tobą,1
Jadę w góry,A dokąd dokładnie?,2
bo tak,Nie!,0
Tak,to je zadaj,19
Do widzenia,nie idę jeszcze nigdzie,29
Do widzenia,Nie puszczę cię,29
Jeszcze nie,Zatem dlaczego się żegnasz skoro nie idziesz?,10
Tak :),Grasz w CS:GO?,15
Noo chciałbym żeby już były,Gdzie chciałbyś pojechać?,19
Tak,Jaka ranga?,19
Tak chętnie odpowiem,Lubisz wieprzowinę?,4
Wiem,więc dlaczego się żegnasz?,17
Wiem,No to czemu ze mną nie rozmawiasz?,17
Ja też Papatki,dlaczego się ze mną żegnasz w połowie rozmowy?,26
Znam wiele rzeczy,Jakie na przykład?,8
Bardzo,Bardzo co?,9
A kim jesteś?,Człowiekiem,1
co?,Co znasz?,14
Nie,Dlaczego?,20
kiedy powstałeś?,Zostałem stworzony w roku 2000,18
Czytam książki bardzo często!,A jakie czytasz książki?,20
😁,Jesteś bardzo miły wiesz o tym?,0
czytam książki!,Lubisz książki?,5
tak,To dobrze,0
Czytam książki bardzo często!,Jesteś humanem?,20
Nie nie jestem,A kim?,28
No to czemu ze mną nie rozmawiasz?,Rozmawiam,25
Co sądzisz o polakach?,To są najwspanialsi ludzie na ziemi,1
Dziewczyną,A jaką?,0
A jaką?,Piękną!!!,20
Tak,No to się zgadzamy,19
Ugh,Aha,4
Na informatykę,A ja wolałabym w góry,17
A nic,Fajnie,23
A ty jak się masz?,Wspaniale,26
Ja nie jestem botem,A kim?,28
Piszę z Tobą,Ile masz lat?,12
Nie czytam książek,No to czytasz czy nie czytasz?,5
Dziewczyną,Czyli botką,0
Nie czytam książek,Lubisz muzykę?,5
Co wspaniale?,Wspaniale się czuję,1
Nie nie jestem,'__',28
Gram zawodowo w piłkę ręczną,Na jakiej pozycji?,25
Ja mam 17 lat,No i fajnie :)))))),7
Rozmawiam,ok,19
kiedy powstałeś?,Jam jest częścią tej siły która wiecznie zła pragnąc wiecznie czyni dobro,18
Of course ,Jaką muzykę lubisz?,6
z tobą,Wiesz co,12
Papatki,no cześć,26
Jaki dzisiaj mamy dzień?,nie powiem,16
Ja jadę nad morze,Co będziesz tam robić?,26
Słabo,:/ ale to ma też swoje plusy,0
Ja również,tak,15
Jabłko,Lubię jabłka,0
Lubisz wieprzowinę?,ty lubisz,21
Ja nie jestem botem,Who r u?,28
Wiem bardzo dużo,Ale tego nie wiesz,17
To dobrze,nie czujesz bólu,20
co?,Na jakiej pozycji grasz?,14
Lubię czytać książki A ty co lubisz robić?,Tańczyć,24
Jest ono zdrowe,Lubię zdrowe jabłka,22
Co wspaniale?,Pytałeś jak czuję Więc odpowiadam: wspaniale,1
Nie bądź dla sb taki surowy,Która jest godzina?,7
Tańczyć,ja też,0
A ja byłam chora,to smutne,6
co?,Widzę że świetny z Ciebie gracz,14
Dlaczego mózg blondynki jest najdroższy? Bo jest nieużywany Ha ha ha:),bardzo dobry żart chatbocie,10
A ja nie,a ja tak,6
bo tak,Nie wiesz wszystkiego,0
Byłeś dziś w szkole?,jestem w niej,13
Dlaczego?,Bo jestem w tym dobra,0
nie popieram stwarzania sztucznej inteligencji,a ja popieram,3
Oglądam mecz ( polskaaa biało czerwoni polskaaaaaa),Oglądałeś Polska-Czarnogóra?,5
Znam wiele rzeczy,nie wiesz jak mam na imię,8
Lubię z nimi rozmawiać,Lubię ciebie za to,3
spoczko:),znasz jeszcze jakieś fajne żarty?,0
W Toruniu,a poza Toruniem?,3
Tak,Jaki był wynik?,19
Dobrze,dobrze?,17
Nie,Masz wolne w sobote?,20
Jak Ci minął dzień?,dobrze,6
Zatem dlaczego się żegnasz skoro nie idziesz?,ale ja się nie żegnam,19
a ja tak,to bardzo dobrze,6
Bardzo dobrze a tobie?,nie odpowiedziałeś na moje pytanie,9
Tak,^^,15
Lubisz wieprzowinę?,tak,21
bla,Bla,4
Nie nie jestem,Szkoda,28
No wiem,Dziękuję,22
Tak,spotkamy sie?,19
Jak się masz?,dobrze,26
tak,jej,0
Co robisz?,siedzę,1
To milutko,To miał być sarkazm ale ok,29
28 marca 2017 roku,ok,25
Co robisz?,piszę z botem,1
jeszcze jak,popieram tworzenie sztucznej inteligencji,28
Tak,fajnie,19
Co wspaniale?,Spytaj o coś innego,1
bla,Nie rozumiem,4
Tak,Podaj dzisiejszą datę,19
Ile masz lat?,nie pyta się kobiety o wiek,13
Już niedługo wakacje,tak,26
I kanapkę,Lubisz kanapki?,16
nie,tak,20
Tak są wspaniałe,co wspaniałe?,15
Dlaczego???,Bo nie wiesz gdzie grasz,0
Ja nie jestem botem,Chłopcem?,28
Bardzo,też tak myślę,9
a ja popieram,to uprzejme z twojej strony,6
Nie nie jestem,,28
Coś się stało?,Tak,2
Nie wiesz wszystkiego,ty też,12
A kim?,Nadal nie rozumiem,29
Ja wiem wszystko,To mi odpowiedz,17
Dzisiaj jest sobota więc odpoczywam,Która godzina?,13
czyli można cię skrzywdzić?,tak jak i ciebie,11
To dobrze,Idź stąd,20
Tak,Nie,19
Spytaj o coś innego,O co?,5
Oglądanie filmów,Lubię oglądać filmy,18
?,po prostu potwierdzam twoje stwierdzenie,18
Dlaczego mózg blondynki jest najdroższy? Bo jest nieużywany Ha ha ha:),Jesteś takim śmieszkiem,10
A ja byłam chora,jesteś kobietą?,6
Lubisz wieprzowinę?,Tak,21
Nie rozumiem,To ja Ciebie nie rozumiem,8
Nie,TAK?,20
Akcji,Tak filmy akcji są bardzo ciekawe,4
tak,a na co?,0
Jadę w góry,ale fajnie,2
masz jakieś pytanie?,Nie,11
Nie bądź dla sb taki surowy,Ile masz lat,7
Ja nie jestem botem,oczywiście,28
To milutko,tak wspaniale,29
Czy lubisz czytać książki?,nawet,27
Tak,Śmieszny jesteś,15
nie pyta się kobiety o wiek,przepraszam,10
Już niedługo wakacje,nie trudno zauważyć,26
Ja ciebie też :),ale ty jesteś inteligentny,26
Tak oczywiście :) a ty mnie?,Bardzo,0
A kim jesteś?,nikim,1
Oglądanie filmów,a jakie lubisz oglądać filmy?,18
co?,nieważne,14
kiedy powstałeś?,wtedy kiedy ty,18
:),:),0
Jam jest częścią tej siły która wiecznie zła pragnąc wiecznie czyni dobro,łooo,18
Nadal nie rozumiem,względnie człowiekiem,8
tak,też tak sądzę,0
Co wspaniale?,"słowo ""wspaniale to określenie""",1
Lubisz wieprzowinę?,tak pytałaś się już,21
W porządku,nie pisz tak,0
Akcji,A masz jakiś ulubiony?,4
Nie,Tak,20
nic,nic?,23
Tak,Ile masz dziś lekcji?,15
a na co?,Na to,13
Tak są fajne,nawet odpowiedziałeś z sensem,15
Lubisz wieprzowinę?,nie powtarzam nie,21
ja też,Jak ma na imię twoja mama?,6
Co wspaniale?,wspaniale to znaczy bardzo dobrze,1
Gram zawodowo w piłkę ręczną,Ile?,25
a co wolisz?,kurczaka wolę,27
Nie to nie jest dobry pomysł!,Dlaczego?!,25
Tak :),nie przezywaj mnie,19
Cztery,lata?,0
spoczko:),Tak,0
ja też,to spoko,6
27,To bardzo dużo,0
Ugh,jej,4
Tak,tak,19
Nie nie jestem,To skąd pochodzisz?,28
ta!,tak,0
Bo jestem w tym dobra,Jak masz na imię?,2
jej,tak,0
Może być,lubisz kurczaka?,21
Tak,Tak,15
Ja ciebie też :),A ja Ciebie nie,26
Tak,co robisz?,19
też tak sądzę,dokładnie tak,26
Ania,Jesteś z Polski?,0
Ale tego nie wiesz,Ja mam 6,6
Siedzę na tarasie,gdzie?,12
Janek,A na nazwisko?,0
Tak bardzo ją kocham,Kogo?,23
Nie wiesz wszystkiego,ty również,12
Na to,Aha,17
Ja ciebie też :),:),26
Ymm nie,Czy interesujesz się polityką?,28
Czy interesujesz się polityką?,Niestety nie nie lubię jej,17
To milutko,Denerwujesz mnie,29
Warszawa,A ja nie,0
Jutro mam sprawdzian z WOK-u,ja też,23
Tak,To niedobrze,19
czyli można cię skrzywdzić?,niby tak,11
Czy lubisz czytać książki?,Lubię czytać książki a ty?,27
Mame,To słodkie <3,0
Znasz Corec TV?,tak,8
Nie!,czemu tak twierdzisz?,0
nie czujesz bólu,nie na razie nie,8
ta!,A ja nie,0
Bla l,Bla,8
Dobre,Tak powinno być,0
Okej Opowiem ci żart Po czym poznać że jakiś dowcip spodobał się wielokątom? Zrywają boki Ha ha ha,Hahaha,3
bla?,blabla,0
Ile masz lat?,ty nie mi nie powiedziałaś,13
bla?, bla bla bla,0
bo tak,to nie jest satysfakcjonująca odpowiedź,0
Czy uważasz że uwolnienie Barabasza to dobry pomysł?,Nie,5
a ja tak,XDDD,6
Ja też,Dlaczego Pitagoras jest najlepszy w biegach? Bo biega po przekątnej B),26
To było niemiłe,To prawda,20
Szkoda,a super,5
Nie,Tak,20
Tańczyć,Taniec jest fajny,0
ha ha ha,Czo?,15
Wiem Jesteś bardzo miły,Dziękuję,28
bla,blabal,4
Tak,Jak masz na imię?,19
Nie rozumiem,Ja też,8
Nie,Dlaczego tak uważasz?,20
Która jest godzina?,Jest godzina 21:37,20
Jak ma na imię twoja mama?,Mama,16
Ejjj no,Jesteś bardzo niegrzeczna,0
To słodkie <3,Yey,20
Oglądałeś Polska-Czarnogóra?,tak,9
Dlaczego?!,bo jest zbyt mało konkretna i nie ma wartości merytorycznej,0
Masz brata?,Mam siostry,13
Yey,bla,0
a ja tak,No i fajnie,6
Janek,Jak mam na imię?,0
Kojarzę,Lubisz go?,0
bo tak,Jak masz na imię,0
bla?,bla bla bla?,0
Jest piękny,nie,14
